uid	Statement Number	Evaluation Block	Statement	Submitter	Source	Target	Generated Question	Rel_1	Rel_2	Rel_3	Relevance	QT_1	QT_2	QT_3	Question Type	Cor_1	Cor_2	Cor_3	Correctness	Amb_1	Amb_2	Amb_3	Ambiguity	Var_1	Var_2	Var_3	Variety
1	1	1	The view that prevailed was that there should be a fitting public memorial to the 49,076 gunners who died.	a	OpenLearn	how many	To the how many gunners who died was the idea that prevailed there should be a public fitting memorial? 	1	1	1	1.00	1	1	1	1.00	2	3	4	3.00	1	1	1	1.00	2	2	2	2.00
2	1	1	The view that prevailed was that there should be a fitting public memorial to the 49,076 gunners who died.	a	OpenLearn	how many	The how many gunners who died was the idea that prevailed there should be a public memorial fitting to? 	2	1	1	1.33	1	1	1	1.00	3	3	4	3.33	2	1	1	1.33	2	2	2	2.00
3	1	2	The view that prevailed was that there should be a fitting public memorial to the 49,076 gunners who died.	b	OpenLearn	how many	How many gunners who died should there be a fitting public memorial to? 	1	1	1	1.00	1	1	1	1.00	1	2	1	1.33	1	1	1	1.00	3	3	3	3.00
4	1	3	The view that prevailed was that there should be a fitting public memorial to the 49,076 gunners who died.	c	OpenLearn	how many	How many gunners there should be a fitting public memorial to ? 	1	1	1	1.00	1	1	1	1.00	1	3	3	2.33	1	1	1	1.00	3	3	3	3.00
5	2	4	At some very basic level, there are three ways in which businesses can respond to the green imperative.	a	OpenLearn	what	At some very basic, level. in what are 3 ways businesses can respond to the green imperative? 	2	2	2	2.00	1	1	1	1.00	2	2	2	2.00	2	2	2	2.00	2	2	2	2.00
6	2	4	At some very basic level, there are three ways in which businesses can respond to the green imperative.	a	OpenLearn	what	At what there are 3 ways in which businesses can respond to the green imperative? 	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00	1	1	1	1.00	2	2	2	2.00
7	2	4	At some very basic level, there are three ways in which businesses can respond to the green imperative.	a	OpenLearn	how many	At some very basic level, there are how many ways in which businesses can respond to the green imperative? 	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	1	1	1	1.00	2	2	2	2.00
8	2	4	At some very basic level, there are three ways in which businesses can respond to the green imperative.	a	OpenLearn	how many	At some very basic, level. how many ways in which businesses can respond to the green imperative are there? 	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	1	1	1	1.00	2	2	2	2.00
9	2	5	At some very basic level, there are three ways in which businesses can respond to the green imperative.	b	OpenLearn	what	At some very basic level, there are what in which businesses can respond to the green imperative? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
10	2	5	At some very basic level, there are three ways in which businesses can respond to the green imperative.	b	OpenLearn	how many	At some very basic level, how many ways in which businesses can respond to the green imperative are there? 	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	1	1	1	1.00	3	3	3	3.00
11	2	6	At some very basic level, there are three ways in which businesses can respond to the green imperative.	c	OpenLearn	how many	How many ways in which businesses can respond to the green imperative ? 	1	1	1	1.00	1	1	1	1.00	1	2	2	1.67	1	1	1	1.00	3	3	3	3.00
